customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,county,is_rural,location_type,mpesa_usage_score,mpesa_engagement,mpesa_monthly_transactions,bonga_points,days_since_bonga_redemption,bonga_active,has_safaricom_home,competitor_exposure,high_competitor_risk,network_quality_score,network_satisfaction,uses_data_rollover,data_bundle_tier,avg_monthly_data_gb,digital_loyalty_score,rural_network_risk,price_sensitive_risk,customer_engagement_score
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,Mombasa,0,urban,64.2,high,7,0.0,362,0,0,5,1,9,satisfied,1,basic,4.37206943490701,38.52,0,0,34.260000000000005
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,Machakos,1,rural,78.0,high,5,1732.9,88,1,0,3,0,2,dissatisfied,1,standard,13.924468648769436,51.42106666666666,1,0,58.4
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,Thika,0,urban,89.0,high,11,0.0,344,0,0,5,1,8,satisfied,1,standard,13.043126973922517,53.4,0,0,41.7
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,Nakuru,0,urban,100.0,high,8,2256.6,311,0,0,4,1,9,satisfied,1,standard,5.7777752870229335,66.0176,0,0,45.0
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,Nairobi,0,urban,100.0,high,6,0.0,194,0,1,3,0,9,satisfied,1,premium,2.519143005486139,60.0,0,0,70.0
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,Nairobi,0,urban,66.4,high,3,992.3,119,0,1,4,1,9,satisfied,0,premium,8.72918849481684,42.486133333333335,0,1,44.92
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,Nairobi,0,urban,24.0,low,3,871.2,183,0,0,4,1,4,dissatisfied,0,premium,6.7892346784258315,16.7232,0,1,7.199999999999999
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,Kakamega,1,rural,5.0,low,1,935.5,205,0,0,2,0,4,dissatisfied,1,basic,16.474581821161593,5.494666666666667,1,0,16.5
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,Uasin Gishu,0,urban,100.0,high,11,1468.6,89,1,0,5,1,9,satisfied,0,unlimited,6.6869158705590666,63.916266666666665,0,1,50.0
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,Thika,0,urban,62.2,high,4,2880.3,115,0,0,5,1,6,neutral,1,standard,8.624159353160149,45.0008,0,0,33.66
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,Nairobi,0,urban,64.5,high,8,545.9,162,0,0,4,1,9,satisfied,1,standard,32.06116973992405,40.15573333333333,0,0,34.349999999999994
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,Machakos,1,rural,79.0,high,8,597.9,103,0,0,1,0,6,neutral,0,basic,64.03616706825392,48.9944,0,0,23.7
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,Kakamega,1,rural,97.0,high,11,3324.7,147,0,0,4,1,5,neutral,1,unlimited,16.34008952691238,67.06586666666666,1,1,44.099999999999994
